id,action_flow_id,action_flow_des,intention_1,intention_2,act_seq_start,act_seq_end,ob_start_frame,ob_end_frame,ob_act_seq,future_act_seq,scene
K8OB6,c061 0.00 33.00;c156 0.00 33.00;c067 0.00 33.00;c065 19.70 33.00;c106 20.20 30.20,Holding some food;Someone is eating something;Holding a sandwich;Eating a sandwich;Drinking from a cup/glass/bottle,eat a sandwich;S/He is hungry,have a meal;S/He is hungry,0,33,1,158,Holding some food;Someone is eating something;Holding a sandwich,Eating a sandwich;Drinking from a cup/glass/bottle,Bedroom
F8M2Y,c026 13.30 26.10;c032 14.20 20.20;c027 15.50 19.90;c031 21.60 26.40,Holding a book;Watching/Reading/Looking at a book;Opening a book;Throwing a book somewhere,read a book;S/He wants to entertain himself/her/hisself,read a book;S/He wants to look for something,13.3,26.4,320,382,Holding a book;Watching/Reading/Looking at a book;Opening a book,Throwing a book somewhere,Bedroom
75HNO,c125 0.00 5.50;c059 0.00 31.00;c154 1.80 7.00;c151 4.00 8.90,Sitting on the floor;Sitting in a chair;Someone is standing up from somewhere;Someone is going from standing to sitting,sit on the floor after standing;S/He wants to clean the shoe,sit on the floor;S/He wants to clean her/his shoes,0,31,1,148,Sitting on the floor;Sitting in a chair;Someone is standing up from somewhere;Someone is going from standing to sitting,,Living room
UFNPU,c120 5.20 12.20;c118 6.60 23.50;c061 6.60 25.50;c063 7.00 25.40,Taking a dish/es from somewhere;Holding a dish;Holding some food;Taking food from somewhere,take some food;S/He is hungry,have a meal;S/He is hungry,5.2,25.5,125,222,Taking a dish/es from somewhere;Holding a dish;Holding some food;Taking food from somewhere,,Laundry room
CPM4M,c143 0.00 4.80;c061 2.40 21.80;c142 3.30 9.00;c118 8.00 30.00;c120 10.80 20.90;c119 12.10 19.20;c156 26.30 30.00,Opening a refrigerator;Holding some food;Closing a refrigerator;Holding a dish;Taking a dish/es from somewhere;Putting a dish/es somewhere;Someone is eating something,prepare a meal;S/He is hungry,drink some soup;S/He is hungry,0,30,1,144,Opening a refrigerator;Holding some food;Closing a refrigerator,Holding a dish;Taking a dish/es from somewhere;Putting a dish/es somewhere;Someone is eating something,Kitchen
ELRP9,c120 3.30 14.30;c118 4.00 44.00;c063 5.90 12.80;c061 6.50 44.00,Taking a dish/es from somewhere;Holding a dish;Taking food from somewhere;Holding some food,perpare some food;S/He is hungry,pick up the food;S/He wants to look for something,3.3,44,80,274,Taking a dish/es from somewhere;Holding a dish;Taking food from somewhere;Holding some food,,Bedroom
IGVLE,c015 24.80 33.00;c016 25.50 33.00;c087 26.90 33.00;c018 28.00 33.00,Holding a phone/camera;Playing with a phone/camera;Taking a picture of something;Taking a phone/camera from somewhere,play phone;S/He wants to relax,take a picture with a phone;S/He wants to make use of a phone,24.8,33,596,634,Holding a phone/camera;Playing with a phone/camera,Taking a picture of something;Taking a phone/camera from somewhere,Entryway (A hall that is generally located at the entrance of a house)
57QQ7,c032 0.00 14.20;c026 0.00 14.70;c029 2.40 13.20;c027 8.90 13.80;c025 9.50 14.00;c028 10.00 14.70,Watching/Reading/Looking at a book;Holding a book;Smiling at a book;Opening a book;Closing a book;Putting a book somewhere,read a book;S/He wants to get information,read a book;S/He wants to entertain himself/her/hisself,0,14.7,1,70,Watching/Reading/Looking at a book;Holding a book;Smiling at a book,Opening a book;Closing a book;Putting a book somewhere,Dining room
E0YEK,c002 7.10 15.20;c001 7.30 15.40;c004 7.30 15.40;c003 7.50 15.40;c000 9.50 14.30,Taking some clothes from somewhere;Putting clothes somewhere;Tidying some clothes;Throwing clothes somewhere;Holding some clothes,arrange the clothes;S/He wants to do some cleaning,tidy some clothes;S/He wants to do the laundry,7.1,15.4,171,210,Taking some clothes from somewhere;Putting clothes somewhere;Tidying some clothes;Throwing clothes somewhere,Holding some clothes,Bedroom
342XO,c106 0.00 27.40;c107 0.00 27.70;c118 0.00 28.40;c109 23.20 29.40,Drinking from a cup/glass/bottle;Holding a cup/glass/bottle of something;Holding a dish;Putting a cup/glass/bottle somewhere,drink something;S/He is thirsty,drink some water;S/He is thirsty,0,29.4,1,141,Drinking from a cup/glass/bottle;Holding a cup/glass/bottle of something;Holding a dish,Putting a cup/glass/bottle somewhere,Stairs
07TCM,c056 0.40 15.20;c053 0.50 15.40;c054 6.00 15.90;c055 6.00 15.90;c002 13.30 26.10;c148 13.30 26.10,Taking shoes from somewhere;Holding a shoe/shoes;Putting shoes somewhere;Putting on shoe/shoes;Taking some clothes from somewhere;Someone is dressing,wear coat and shoes;S/He wants to get dressed,get dressed;S/He wants to resist the cold,0.4,26.1,10,132,Taking shoes from somewhere;Holding a shoe/shoes,Putting shoes somewhere;Putting on shoe/shoes;Taking some clothes from somewhere;Someone is dressing,Living room
EGY7O,c143 10.30 18.60;c063 15.30 19.90;c142 15.90 22.80;c061 16.30 42.00;c062 33.30 38.80,Opening a refrigerator;Taking food from somewhere;Closing a refrigerator;Holding some food;Putting some food somewhere,take out the pot and open the box;S/He wants to cook,take food from the refrigerator;S/He wants to make use of the refrigerator,10.3,42,248,399,Opening a refrigerator;Taking food from somewhere;Closing a refrigerator;Holding some food,Putting some food somewhere,Kitchen
CM6T8,c113 0.00 3.20;c008 0.00 3.70;c141 0.00 3.80;c097 0.50 5.20,Opening a closet/cabinet;Opening a door;Grasping onto a doorknob;Walking through a doorway,take something from a cabinet;S/He wants to make use of a cabinet,walk through the doorway;S/He wants to enter the room,0,5.2,1,24,Opening a closet/cabinet;Opening a door;Grasping onto a doorknob;Walking through a doorway,,Closet / Walk-in closet / Spear closet
ZB5J4,c070 0.00 24.30;c072 0.00 24.50;c071 19.90 27.30;c074 21.90 28.90,Holding a blanket;Snuggling with a blanket;Putting a blanket somewhere;Throwing a blanket somewhere,put away the blanket;S/He wants to wake up and get out of the chair,fold the blanket;S/He wants to arrange the blanket,0,28.9,1,138,Holding a blanket;Snuggling with a blanket,Putting a blanket somewhere;Throwing a blanket somewhere,Kitchen
V3LMY,c110 0.00 7.70;c107 0.00 23.9;c106 2.60 9.70;c109 24.00 32.00;c111 28.90 32.00,Taking a cup/glass/bottle from somewhere;Holding a cup/glass/bottle of something;Drinking from a cup/glass/bottle;Putting a cup/glass/bottle somewhere;Washing a cup/glass/bottle,drink some water and wash a cup;S/He wants to drink something and do the washing up,satisfy thirsty;S/He wants to wash cups,0,32,1,153,Taking a cup/glass/bottle from somewhere;Holding a cup/glass/bottle of something;Drinking from a cup/glass/bottle,Putting a cup/glass/bottle somewhere;Washing a cup/glass/bottle,Living room
4NRPM,c002 0.00 5.40;c000 0.00 31.00;c053 0.00 31.00;c155 0.40 18.50;c057 18.10 27.50,Taking some clothes from somewhere;Holding some clothes;Holding a shoe/shoes;Someone is undressing;Taking off some shoes,take off clothes;S/He wants to go home,take off a coat and shoes;S/He wants to get undressed,0,31,1,148,Taking some clothes from somewhere;Holding some clothes;Holding a shoe/shoes;Someone is undressing,Taking off some shoes,Entryway (A hall that is generally located at the entrance of a house)
O2294,c002 3.10 18.30;c155 4.70 18.90;c001 14.00 19.00;c003 14.40 19.30,Taking some clothes from somewhere;Someone is undressing;Putting clothes somewhere;Throwing clothes somewhere,take off clothes;S/He wants to have a rest,take off clothes;S/He wants to have a rest,3.1,19.3,75,152,Taking some clothes from somewhere;Someone is undressing,Putting clothes somewhere;Throwing clothes somewhere,Bedroom
Z2DEZ,c070 0.00 5.90;c071 0.00 8.20;c075 0.00 8.20;c073 0.00 10.00;c154 0.20 8.50;c074 0.90 8.00;c151 5.60 14.10,Holding a blanket;Putting a blanket somewhere;Tidying up a blanket/s;Taking a blanket from somewhere;Someone is standing up from somewhere;Throwing a blanket somewhere;Someone is going from standing to sitting,fold the blanket;S/He wants to arrange the blanket,get up;S/He wants to clean the room,0,14.1,1,67,Holding a blanket;Putting a blanket somewhere;Tidying up a blanket/s;Taking a blanket from somewhere;Someone is standing up from somewhere;Throwing a blanket somewhere,Someone is going from standing to sitting,Bedroom
JG7UX,c155 0.00 11.10;c002 10.40 16.20;c004 10.60 21.50;c003 16.40 21.80;c001 16.50 23.40,Someone is undressing;Taking some clothes from somewhere;Tidying some clothes;Throwing clothes somewhere;Putting clothes somewhere,tidy up the clothes after undressing;S/He wants to clean the clothes,take off a coat and a hat;S/He wants to get undressed,0,23.4,1,112,Someone is undressing,Taking some clothes from somewhere;Tidying some clothes;Throwing clothes somewhere;Putting clothes somewhere,Kitchen
O8S0J,c156 0.00 8.40;c061 0.00 18.00;c118 0.00 18.00;c120 0.00 18.00;c106 6.30 17.90;c109 13.60 18.00,Someone is eating something;Holding some food;Holding a dish;Taking a dish/es from somewhere;Drinking from a cup/glass/bottle;Putting a cup/glass/bottle somewhere,have a meal;S/He is hungry,eat something and drink water;S/He is hungry,0,18,1,86,Someone is eating something;Holding some food;Holding a dish;Taking a dish/es from somewhere,Drinking from a cup/glass/bottle;Putting a cup/glass/bottle somewhere,Bedroom
X28IF,c119 6.80 17.50;c110 6.90 17.40;c107 7.50 16.90;c120 7.50 17.90;c109 7.70 17.50;c108 8.40 14.60,Putting a dish/es somewhere;Taking a cup/glass/bottle from somewhere;Holding a cup/glass/bottle of something;Taking a dish/es from somewhere;Putting a cup/glass/bottle somewhere;Pouring something into a cup/glass/bottle,pour some water into a cup;S/He wants to drink something,pouring water into a cup;S/He feels a cold drink,6.8,17.9,164,216,Putting a dish/es somewhere;Taking a cup/glass/bottle from somewhere;Holding a cup/glass/bottle of something;Taking a dish/es from somewhere;Putting a cup/glass/bottle somewhere;Pouring something into a cup/glass/bottle,,Living room
HAA4O,c018 12.40 18.00;c015 13.60 40.40;c087 16.00 30.20;c017 32.80 41.00,Taking a phone/camera from somewhere;Holding a phone/camera;Taking a picture of something;Putting a phone/camera somewhere,take a photo of something;S/He wants to record something,take a picture using a phone;S/He wants to make use of a phone,12.4,41,298,434,Taking a phone/camera from somewhere;Holding a phone/camera;Taking a picture of something,Putting a phone/camera somewhere,Bathroom
J95X1,c146 0.00 7.20;c078 0.00 19.30;c133 25.20 38.10;c134 29.10 40.10,Someone is awakening somewhere;Snuggling with a pillow;Someone is awakening in bed;Lying on a bed,leave the bed;S/He wants to get up,get out of bed;S/He wants to wake up,0,40.1,1,192,Someone is awakening somewhere;Snuggling with a pillow,Someone is awakening in bed;Lying on a bed,Bedroom
XCUOD,c063 0.00 14.10;c061 0.00 26.50;c156 1.70 21.40;c062 2.90 17.00,Taking food from somewhere;Holding some food;Someone is eating something;Putting some food somewhere,eat something;S/He is hungry,eat food;S/He is hungry,0,26.5,1,127,Taking food from somewhere;Holding some food;Someone is eating something;Putting some food somewhere,,Kitchen
NO443,c154 0.00 3.00;c151 9.00 14.00;c123 10.80 31.00;c059 21.00 30.90,Someone is standing up from somewhere;Someone is going from standing to sitting;Sitting on sofa/couch;Sitting in a chair,sit on a sofa;S/He wants to wear shoes,sit on sofa and wear shoes;S/He wants to relax,0,31,1,148,Someone is standing up from somewhere,Someone is going from standing to sitting;Sitting on sofa/couch;Sitting in a chair,Living room
K2BY7,c126 0.00 4.90;c001 0.00 5.00;c000 0.00 13.50;c148 3.60 26.00,Throwing something on the floor;Putting clothes somewhere;Holding some clothes;Someone is dressing,wear clothes;S/He wants to go outside,put on some clothes;S/He wants to get himself/her/hisself dressed,0,26,1,124,Throwing something on the floor;Putting clothes somewhere;Holding some clothes;Someone is dressing,,Hallway
20WZU,c065 0.00 6.50;c063 0.60 7.10;c067 1.20 10.00;c061 1.30 23.60;c156 4.80 10.80,Eating a sandwich;Taking food from somewhere;Holding a sandwich;Holding some food;Someone is eating something,eat a sandwich;S/He is hungry,eat a sandwich;S/He is hungry,0,23.6,1,113,Eating a sandwich;Taking food from somewhere;Holding a sandwich;Holding some food,Someone is eating something,Basement (A room below the ground floor)
3ZHEX,c067 0.00 26.00;c061 0.00 26.00;c107 0.00 26.00;c106 0.10 7.10;c065 7.30 14.50,Holding a sandwich;Holding some food;Holding a cup/glass/bottle of something;Drinking from a cup/glass/bottle;Eating a sandwich,eat and drink something;S/He is hungry and thirsty,have a meal;S/He is hungry,0,26,1,124,Holding a sandwich;Holding some food;Holding a cup/glass/bottle of something;Drinking from a cup/glass/bottle,Eating a sandwich,Entryway (A hall that is generally located at the entrance of a house)
VVMYX,c107 0.00 9.90;c108 0.00 10.50;c110 8.60 14.50;c109 8.60 23.40;c129 20.10 34.10;c156 27.30 34.70,Holding a cup/glass/bottle of something;Pouring something into a cup/glass/bottle;Taking a cup/glass/bottle from somewhere;Putting a cup/glass/bottle somewhere;Taking/consuming some medicine;Someone is eating something,drink water and consume medicine;S/He wants to deal with illness,drink some water;S/He is thirsty,0,34.7,1,166,Holding a cup/glass/bottle of something;Pouring something into a cup/glass/bottle,Taking a cup/glass/bottle from somewhere;Putting a cup/glass/bottle somewhere;Taking/consuming some medicine;Someone is eating something,Kitchen
QMKZV,c002 4.10 11.60;c155 4.40 12.10;c003 6.30 18.50;c000 9.00 18.40;c004 11.50 18.50;c001 12.70 22.40,Taking some clothes from somewhere;Someone is undressing;Throwing clothes somewhere;Holding some clothes;Tidying some clothes;Putting clothes somewhere,take off some clothes and tidy the clothes;S/He wants to get undressed,take off clothes;S/He wants to have a rest,4.1,22.4,99,186,Taking some clothes from somewhere;Someone is undressing;Throwing clothes somewhere,Holding some clothes;Tidying some clothes;Putting clothes somewhere,Home Office / Study (A room in a house used for work)
4JOAD,c035 2.10 7.00;c033 2.50 20.8;c038 9.60 17.60;c034 14.80 21.40,Taking a towel/s from somewhere;Holding a towel/s;Washing something with a towel;Putting a towel/s somewhere,wash something after taking a towel;S/He wants to clean the kitchen,tidy the table with a towel;S/He wants to clean the table,2.1,21.4,51,143,Taking a towel/s from somewhere;Holding a towel/s,Washing something with a towel;Putting a towel/s somewhere,Kitchen
CD11G,c147 0.00 7.70;c118 1.80 9.00;c143 4.20 18.9;c142 13.70 19.00,Someone is cooking something;Holding a dish;Opening a refrigerator;Closing a refrigerator,cook something;S/He wants to prepare a meal,take something from a refrigerator while cooking;S/He wants to prepare a meal,0,19,1,91,Someone is cooking something;Holding a dish,Opening a refrigerator;Closing a refrigerator,Kitchen
2CR09,c020 0.00 8.20;c023 0.00 8.70;c021 2.10 6.50;c022 4.60 8.90,Holding a bag;Taking a bag from somewhere;Opening a bag;Putting a bag somewhere,open a bag;S/He wants to get a coat,open a bag and take something in the bag;S/He wants to look for something,0,8.9,1,42,Holding a bag;Taking a bag from somewhere,Opening a bag;Putting a bag somewhere,Garage
EG0VZ,c122 0.00 11.60;c134 0.00 24.50;c133 7.20 18.40;c135 12.50 21.70,Lying on a sofa/couch;Lying on a bed;Someone is awakening in bed;Sitting in a bed,lie on a sofa;S/He wants to rest,awake from a bed;S/He wants to have a rest,0,24.5,1,117,Lying on a sofa/couch;Lying on a bed,Someone is awakening in bed;Sitting in a bed,Bedroom
13YII,c110 0.00 4.00;c109 0.00 4.20;c107 0.00 5.10;c061 0.60 15.70;c062 1.00 16.90;c063 4.90 10.10,Taking a cup/glass/bottle from somewhere;Putting a cup/glass/bottle somewhere;Holding a cup/glass/bottle of something;Holding some food;Putting some food somewhere;Taking food from somewhere,arrange the dishes and food;S/He wants to clean the kitchen,put a bottle in somewhere;S/He wants to arrange,0,16.9,1,81,Taking a cup/glass/bottle from somewhere;Putting a cup/glass/bottle somewhere;Holding a cup/glass/bottle of something;Holding some food;Putting some food somewhere,Taking food from somewhere,Kitchen
2WH4F,c075 6.50 26.10;c070 6.80 25.30;c073 7.60 15.80;c071 8.90 24.80,Tidying up a blanket/s;Holding a blanket;Taking a blanket from somewhere;Putting a blanket somewhere,fold the blanket;S/He wants to arrange the blanket,arrange a blanket after tidying up it;S/He wants to tidy up a blanket,6.5,26.1,157,250,Tidying up a blanket/s;Holding a blanket;Taking a blanket from somewhere;Putting a blanket somewhere,,Bathroom
RJU3H,c106 0.00 15.50;c107 0.00 17.00;c109 0.00 17.10;c032 0.00 32.00;c026 0.00 32.00;c145 0.00 32.00;c115 0.00 32.00,Drinking from a cup/glass/bottle;Holding a cup/glass/bottle of something;Putting a cup/glass/bottle somewhere;Watching/Reading/Looking at a book;Holding a book;Working on paper/notebook;Someone is holding a paper/notebook,have a joyful activity;S/He wants to entertain himself/her/hisself,drink water while reading;S/He is thirsty,0,32,1,153,Drinking from a cup/glass/bottle;Holding a cup/glass/bottle of something;Putting a cup/glass/bottle somewhere;Watching/Reading/Looking at a book;Holding a book;Working on paper/notebook;Someone is holding a paper/notebook,,Dining room
J6L8A,c110 14.40 19.60;c118 15.00 28.00;c147 16.20 27.20;c109 23.00 28.30;c119 23.30 28.50;c120 25.90 32.40,Taking a cup/glass/bottle from somewhere;Holding a dish;Someone is cooking something;Putting a cup/glass/bottle somewhere;Putting a dish/es somewhere;Taking a dish/es from somewhere,move something;S/He wants to tidy the kitchen,pour some water to a pot;S/He wants to prepare to cook some food,14.4,32.4,346,432,Taking a cup/glass/bottle from somewhere;Holding a dish;Someone is cooking something,Putting a cup/glass/bottle somewhere;Putting a dish/es somewhere;Taking a dish/es from somewhere,Kitchen
MAUMO,c151 0.00 3.00;c123 0.00 30.70;c059 0.50 31.20;c154 26.20 32.00,Someone is going from standing to sitting;Sitting on sofa/couch;Sitting in a chair;Someone is standing up from somewhere,sit on a sofa and watch tv;S/He wants to relax,sit in a sofa;S/He wants to have a rest,0,32,1,153,Someone is going from standing to sitting;Sitting on sofa/couch;Sitting in a chair,Someone is standing up from somewhere,Living room
9VBJ5,c061 0.00 18.20;c156 0.00 18.40;c063 6.10 11.10;c106 16.30 28.80;c107 16.50 40.00;c111 25.40 39.50;c121 30.00 40.00,Holding some food;Someone is eating something;Taking food from somewhere;Drinking from a cup/glass/bottle;Holding a cup/glass/bottle of something;Washing a cup/glass/bottle;Wash a dish/dishes,wash a dish after having a meal;S/He is hungry,eat some food and drink some water;S/He is hungry,0,40,1,192,Holding some food;Someone is eating something;Taking food from somewhere,Drinking from a cup/glass/bottle;Holding a cup/glass/bottle of something;Washing a cup/glass/bottle;Wash a dish/dishes,Kitchen
U6L1X,c100 1.30 7.60;c098 2.70 7.60;c126 4.20 9.70;c102 5.80 18.90;c127 14.80 22.40;c099 19.80 24.60,Taking a broom from somewhere;Holding a broom;Throwing something on the floor;Tidying up with a broom;Tidying something on the floor;Putting a broom somewhere,clean the room;S/He wants to do the cleaning,sweep the floor;S/He wants to clean the room,1.3,24.6,32,143,Taking a broom from somewhere;Holding a broom;Throwing something on the floor;Tidying up with a broom,Tidying something on the floor;Putting a broom somewhere,Kitchen
KA09C,c005 0.00 11.30;c057 9.40 27.20;c004 9.80 30.70;c155 10.70 26.10;c056 11.30 24.10;c054 13.40 18.50,Washing some clothes;Taking off some shoes;Tidying some clothes;Someone is undressing;Taking shoes from somewhere;Putting shoes somewhere,undress after washing some clothes;S/He wants to relax,wash some clothes;S/He wants to do the laundry,0,30.7,1,147,Washing some clothes,Taking off some shoes;Tidying some clothes;Someone is undressing;Taking shoes from somewhere;Putting shoes somewhere,Laundry room
ZO3EG,c002 0.00 12.30;c001 0.10 15.90;c155 0.90 9.40;c005 1.60 11.50;c000 3.50 10.00;c003 6.00 13.40,Taking some clothes from somewhere;Putting clothes somewhere;Someone is undressing;Washing some clothes;Holding some clothes;Throwing clothes somewhere,wash some clothes;S/He wants to do the laundry,tidy up the room;S/He wants to do the cleaning,0,15.9,1,76,Taking some clothes from somewhere;Putting clothes somewhere;Someone is undressing;Washing some clothes,Holding some clothes;Throwing clothes somewhere,Laundry room
2ZICJ,c106 0.00 4.80;c107 0.00 6.90;c109 1.00 6.70;c143 4.50 12.40;c142 25.60 30.50,Drinking from a cup/glass/bottle;Holding a cup/glass/bottle of something;Putting a cup/glass/bottle somewhere;Opening a refrigerator;Closing a refrigerator,drink some water;S/He is thirsty,repair the refrigerator;S/He wants to make use of the refrigerator,0,30.5,1,146,Drinking from a cup/glass/bottle;Holding a cup/glass/bottle of something;Putting a cup/glass/bottle somewhere;Opening a refrigerator,Closing a refrigerator,Kitchen
NGMVI,c001 0.00 12.00;c155 0.00 30.00;c057 7.70 17.10;c058 8.80 24.20,Putting clothes somewhere;Someone is undressing;Taking off some shoes;Throwing shoes somewhere,take off clothes;S/He wants to have a rest,take off clothes;S/He wants to have a rest,0,30,1,144,Putting clothes somewhere;Someone is undressing,Taking off some shoes;Throwing shoes somewhere,Bedroom
6MUM6,c118 0.00 31.00;c107 0.00 31.00;c108 5.50 19.7;c106 21.60 31.00,Holding a dish;Holding a cup/glass/bottle of something;Pouring something into a cup/glass/bottle;Drinking from a cup/glass/bottle,drink some water;S/He is thirsty,drink something;S/He is thirsty,0,31,1,148,Holding a dish;Holding a cup/glass/bottle of something;Pouring something into a cup/glass/bottle,Drinking from a cup/glass/bottle,Stairs
WGZ29,c110 0.00 4.40;c107 0.00 50.50;c106 12.30 22.20;c109 44.10 51.00,Taking a cup/glass/bottle from somewhere;Holding a cup/glass/bottle of something;Drinking from a cup/glass/bottle;Putting a cup/glass/bottle somewhere,drink something;S/He is thirsty,drink some water;S/He is thirsty,0,51,1,244,Taking a cup/glass/bottle from somewhere;Holding a cup/glass/bottle of something,Drinking from a cup/glass/bottle;Putting a cup/glass/bottle somewhere,Bedroom
A58GR,c043 1.40 9.40;c040 5.20 33.00;c041 7.00 14.50;c039 21.60 33.00,Taking a box from somewhere;Holding a box;Opening a box;Closing a box,put something into a box;S/He wants to make use of a box,put something into a box;S/He wants to make use of the box,1.4,33,34,185,Taking a box from somewhere;Holding a box;Opening a box,Closing a box,Laundry room
8DSGI,c030 9.00 16.40;c026 10.90 32.00;c027 13.40 20.00;c032 13.40 32.00;c025 15.90 32.00,Taking a book from somewhere;Holding a book;Opening a book;Watching/Reading/Looking at a book;Closing a book,read a book;S/He wants to learn something new,read a book;S/He wants to enterain himself/her/hisself,9,32,217,326,Taking a book from somewhere;Holding a book;Opening a book;Watching/Reading/Looking at a book,Closing a book,Home Office / Study (A room in a house used for work)
HKY1M,c018 10.10 15.20;c015 10.70 22.70;c016 11.50 20.60;c087 13.20 20.40,Taking a phone/camera from somewhere;Holding a phone/camera;Playing with a phone/camera;Taking a picture of something,take a picture with a phone;S/He wants to make use of a phone,selfie;S/He is looking for a device,10.1,22.7,243,302,Taking a phone/camera from somewhere;Holding a phone/camera;Playing with a phone/camera,Taking a picture of something,Hallway
E6TED,c110 15.20 23.30;c107 15.50 24.80;c108 15.70 24.20;c109 20.10 25.00;c106 22.00 31.00,Taking a cup/glass/bottle from somewhere;Holding a cup/glass/bottle of something;Pouring something into a cup/glass/bottle;Putting a cup/glass/bottle somewhere;Drinking from a cup/glass/bottle,drink some water;S/He is thirsty,drink water;S/He is thirsty,15.2,31,365,440,Taking a cup/glass/bottle from somewhere;Holding a cup/glass/bottle of something;Pouring something into a cup/glass/bottle,Putting a cup/glass/bottle somewhere;Drinking from a cup/glass/bottle,Living room
9POJB,c154 2.20 7.20;c151 5.20 11.10;c123 5.90 29.50;c059 14.00 27.90,Someone is standing up from somewhere;Someone is going from standing to sitting;Sitting on sofa/couch;Sitting in a chair,sit on the sofa;S/He wants to have a rest,sit on a sofa;S/He wants to relax,2.2,29.5,53,183,Someone is standing up from somewhere;Someone is going from standing to sitting;Sitting on sofa/couch,Sitting in a chair,Bedroom
MTLT3,c008 30.40 35.70;c006 31.20 37.00;c097 31.50 37.00;c141 31.90 36.10,Opening a door;Closing a door;Walking through a doorway;Grasping onto a doorknob,walk through the door;S/He wants to leave the room,cross a door;S/He wants to go to outside,30.4,37,730,761,Opening a door;Closing a door;Walking through a doorway,Grasping onto a doorknob,Living room
TK1VC,c098 9.00 21.00;c102 10.50 15.00;c100 10.90 16.00;c099 16.50 21.00,Holding a broom;Tidying up with a broom;Taking a broom from somewhere;Putting a broom somewhere,clean the room;S/He wants to do housework,sweep the floor;S/He wants to clean the room,9,21,217,273,Holding a broom;Tidying up with a broom;Taking a broom from somewhere,Putting a broom somewhere,Living room
Q24OC,c063 11.30 16.20;c120 12.00 29.00;c061 14.80 22.20;c062 23.50 28.90;c119 23.70 30.00;c009 23.80 30.00,Taking food from somewhere;Taking a dish/es from somewhere;Holding some food;Putting some food somewhere;Putting a dish/es somewhere;Putting something on a table,prepare a meal;S/He is hungry,move food;S/He wants to prepare a meal,11.3,30,272,360,Taking food from somewhere;Taking a dish/es from somewhere;Holding some food,Putting some food somewhere;Putting a dish/es somewhere;Putting something on a table,Dining room
GZF5F,c110 0.00 18.00;c118 0.00 18.00;c120 4.00 9.20;c106 4.00 15.60;c108 4.70 11.70;c109 5.00 11.90;c107 6.20 14.60;c119 9.40 14.40,Taking a cup/glass/bottle from somewhere;Holding a dish;Taking a dish/es from somewhere;Drinking from a cup/glass/bottle;Pouring something into a cup/glass/bottle;Putting a cup/glass/bottle somewhere;Holding a cup/glass/bottle of something;Putting a dish/es somewhere,drink some water;S/He is thirsty,drink water;S/He is thirsty,0,18,1,86,Taking a cup/glass/bottle from somewhere;Holding a dish,Taking a dish/es from somewhere;Drinking from a cup/glass/bottle;Pouring something into a cup/glass/bottle;Putting a cup/glass/bottle somewhere;Holding a cup/glass/bottle of something;Putting a dish/es somewhere,Dining room
N2WXN,c134 0.00 11.30;c133 5.90 13.30;c146 7.10 19.90;c135 12.50 20.20,Lying on a bed;Someone is awakening in bed;Someone is awakening somewhere;Sitting in a bed,get up;S/He wants to freshen up,sit up in the bed;S/He wants to wake up,0,20.2,1,96,Lying on a bed,Someone is awakening in bed;Someone is awakening somewhere;Sitting in a bed,Bedroom
4JKLQ,c113 1.50 8.30;c114 6.00 25.10;c130 6.20 25.70;c112 16.40 24.80,Opening a closet/cabinet;Tidying up a closet/cabinet;Putting groceries somewhere;Closing a closet/cabinet,open the cabinet;S/He wants to tidy up the cabinet,put something in the closet;S/He wants to tidy the room,1.5,25.7,37,152,Opening a closet/cabinet;Tidying up a closet/cabinet;Putting groceries somewhere,Closing a closet/cabinet,Pantry
5QUSB,c027 0.00 3.10;c026 0.00 32.00;c032 0.00 32.00;c029 7.70 32.00;c025 12.50 17.90,Opening a book;Holding a book;Watching/Reading/Looking at a book;Smiling at a book;Closing a book,read a book;S/He wants to do some reading,read a book;S/He wants to learn something,0,32,1,153,Opening a book;Holding a book;Watching/Reading/Looking at a book,Smiling at a book;Closing a book,Closet / Walk-in closet / Spear closet
IMLN5,c118 0.00 31.00;c107 5.40 15.80;c106 5.60 15.50;c110 9.90 19.00;c109 11.20 18.90,Holding a dish;Holding a cup/glass/bottle of something;Drinking from a cup/glass/bottle;Taking a cup/glass/bottle from somewhere;Putting a cup/glass/bottle somewhere,drink something;S/He is thirsty,drink something;S/He is thirsty,0,31,1,148,Holding a dish;Holding a cup/glass/bottle of something;Drinking from a cup/glass/bottle,Taking a cup/glass/bottle from somewhere;Putting a cup/glass/bottle somewhere,Garage
2CDOS,c155 2.40 20.00;c003 9.90 20.70;c001 10.40 22.20;c000 14.70 20.10,Someone is undressing;Throwing clothes somewhere;Putting clothes somewhere;Holding some clothes,take off clothes;S/He wants to get undressed,take off coats;S/He wants to get undressed,2.4,22.2,58,152,Someone is undressing,Throwing clothes somewhere;Putting clothes somewhere;Holding some clothes,Living room
3T785,c050 14.10 20.30;c051 14.40 32.00;c047 15.80 23.00;c049 16.10 24.10,Taking a laptop from somewhere;Watching a laptop or something on a laptop;Holding a laptop;Putting a laptop somewhere,face verification;S/He wants to verify someone,work on a laptop;S/He wants to make use of a laptop,14.1,32,339,424,Taking a laptop from somewhere;Watching a laptop or something on a laptop;Holding a laptop;Putting a laptop somewhere,,Living room
